attributecolumnname,attributevalue,conversionrate,conversionmetricname,startdate,enddate
State,BC,0,state_close_rate,2/23/20,5/23/20
State,VI,0,state_close_rate,2/23/20,5/23/20
State,GU,0,state_close_rate,2/23/20,5/23/20
State,PR,0,state_close_rate,2/23/20,5/23/20
LeadTypeCode,QSQLTier7,0.005612722,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIRSWEBVACO,0.029411765,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARISVCBLKMLS,0.009258069,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,FBQLVAS,0.012580374,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOFAMD,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOPTL,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIDSCONAI5,0.032323234,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CRMCLSPN,0.33333334,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLEOO9,0.003108808,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLLOYALTY,0.13333334,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,qltest,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIDSWEB2,0.03834197,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,FHLMCAQHARP,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LGQL,0.005744097,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLSCRE1,0.02478386,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PTQLLOW,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLMS,0.41719887,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QSQLTier10,0.004907975,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIRSAQALLY,0.006525286,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,GSLTRMED,0.007633588,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CHATBLF,0.009391822,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RLMAN,0.15418503,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARICTEQXBP,0.009433962,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LTQL,0.01057326,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QSQLTier1P,0.019607844,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOINT,0.5,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RTQLF1,0.002949853,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,GSQL97,0.004044338,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLEOO2,0.013907734,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOCROWN,0.06666667,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELONORD,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,WHAMV1,0.018249223,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ARGENERAL,0.047059957,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,IHRAGTBK,0.07177033,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ALEXALEADR,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLSCRE2,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLTest,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOSHLL,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOTEMA,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RMAMEXPAPP,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,IHRARFBK,0.27083334,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLESF2,0.001273885,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,FBQLVA,0.01618929,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELONRI,0.32,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RSNIRVANAREFI3,0.003065134,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CRMCL,0.10362888,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,BIFFREF,0.24297753,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOLOWES,0.074074075,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELONUCOM,0.041551247,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARICTEQFHA,0.016151577,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,FBQLEMAIL,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLEOO6,0.00922722,LTC_close_rate,2/23/20,5/23/20
